F13390633337,一边内耗，一边自愈，一会想开了，一会又纠结了，想发个朋友圈诉苦，好像不太合适。想找个人倾诉一下压抑的心情，可是翻遍了所有社交才发现没有一个人可以去诉说。于是我又像往常一样，咽下所有的情绪，默默打开抖音，在别人的故事里对号入座，在陌生的评论区来倾诉内心的苦,2024-09-05 01:07:44,江苏,41
任天堂,特别喜欢这句：认知不在一个高度上，没必要互相征服，成年人的世界，只筛选不教育，只选择不改变[赞],2024-08-29 17:50:24,河北,41
广州车浍汽配（拆车件）,一边内耗，一边自愈，一会想开了，一会又纠结了，想发个朋友圈诉苦，好像不太合适。想找个人倾诉一下压抑的心情，可是翻遍了所有社交才发现没有一个人可以去诉说。于是我又像往常一样，咽下所有的情绪，默默打开抖音，在别人的故事里对号入座，在陌生的评论区来倾诉内心的苦,2024-08-31 03:53:50,广东,39
茂似相识,送给咱男人很现实的一句话：你得有足够的实力，你的原则和底线才会被尊重，家庭的第一核心，永远是经济，而不是感情。,2024-08-31 03:16:12,海南,37
河南嵩禹机械设备制造有限公司,恋人不像恋人，朋友不像朋友，陌生人不像陌生人，有人懂这种感觉吗[泣不成声][泣不成声],2024-09-02 11:32:10,河南,29
A飞い︶,终有一天，你会静下心来，像个局外人一样，回首自己的故事，然后笑着摇摇头，浮生不过梦一场，所以能够治愈你的从来不是时间，而是内心的释怀和明白...,2024-08-29 11:27:46,江西,25
平头哥 (回收+拆除/劳务+工程施工,一个男人最好的状态是什么？就是无论你的婚姻幸与不幸，枕边人忠与不忠，身为男人，你都明白一件事，婚姻不是你人生的全部，下半生拼的也不是你的老婆，而是拼你自己，拼一个健康的身体，一个开心的余生，做为一个男人，最好的状态就是眼里写满了故事，脸上却不见任何风霜，每天打理自己，少动没用的心，多挣万能的金，不羡慕谁，也不嘲笑谁，更不依赖谁，悄悄的去努力，悄悄的爱自己，把委屈吞下，把格局撑大，照顾好生养自己的人，养育好自己生的人，至于其他人管不了的也不再劳心费力的去操心了，更不会去执着于改变别人，认知不在一个高度上没必要互相征服，成年人的世界只筛选不教育，只选择不改变。,2024-09-13 10:57:04,陕西,19
要开心！要快乐哦！,耻辱的离婚，害怕走不出这个心理牢笼！锥心之痛,2024-08-27 18:49:59,河北,19
大鹏@,所以要女人干嘛？一个人不香吗？,2024-08-29 04:26:14,福建,16
八九,"加油  希望我们江湖再见  离婚第二天  我只难过三天 
我98年  从此以后只为爸妈和儿子和自己而活  加油[比心]",2024-08-31 05:40:24,广东,14
衡水阳仔、,明天就离婚了，结束8年婚姻，祝所有婚姻破碎的朋友会越来越好，不再浪费时间[比心],2024-09-17 22:35:36,河北,13
鹅,一个男人最好的状态 就是  兜里有钱 想干嘛干嘛  想走就走 想玩就玩,2024-08-30 15:54:19,黑龙江,13
真水无香,赚钱才是男人唯一的出路[捂脸],2024-08-28 23:22:45,广东,13
Lisa,难道女人不也是这样吗？共勉吧！[微笑],2024-09-07 11:43:30,北京,12
棋凌,一边内耗，一边自愈，一会想开了，一会又纠结了，想发个朋友圈诉苦，好像不太合适。想找个人倾诉一下压抑的心情，可是翻遍了所有社交才发现没有一个人可以去诉说。于是我又像往常一样，咽下所有的情绪，默默打开抖音，在别人的故事里对号入座，在陌生的评论区来倾诉内心的苦,2024-09-04 00:18:39,广西,12
香槟仔仔,我同意离婚了，变了心的女人不值得留恋。,2024-08-28 17:35:38,上海,12
小幸运🍀🍀🍀,女人也一样，除了生我的和我生的，其它的都不在乎[耶][耶][耶],2024-08-30 11:40:35,贵州,11
晚风吹人醒,我觉得如果正常离婚吧，还能接受，就怕有预谋，找好下家，再来和你离婚的那种，不可原谅,2024-08-28 18:26:24,河南,11
晴天。,养好生我的人，养大我生的人[比心],2024-08-28 17:10:52,广东,11
半转身,成年人的世界，不会把这个转给自己的老婆。[比心]因为征服好了自己的老婆，才能照顾好生自己的人，教育好自己生的人。自己才能照顾好自己的身体。[比心],2024-08-30 06:03:49,北京,10
榜一大哥￥,男人最好的状态就是健康，我深有体会[捂脸],2024-08-29 14:09:35,江苏,9
370305,一个男人最好的状态是有钱，家庭和睦，父母健康，孩子优秀,2024-08-29 07:22:07,山东,9
西风烈,"只筛选，不教育！
只选择，不改变！
[感谢][感谢][感谢]",2024-08-29 00:54:01,北京,9
启程人生之路,不喝毒鸡汤，好好的找一个和自己过日子的女人，共同创造幸福，一起奋斗，一起扛，最难的事情，现在的网络毒鸡汤太多了，无论男女，多少人受到毒鸡汤的影响？呵呵,2024-08-28 22:31:13,山东,9
@用心守护@,一个男人最好的状态是什么？就是无论你的婚姻幸与不幸，枕边人忠与不忠，身为男人，你都明白一件事，婚姻不是你人生的全部，下半生拼的也不是你的老婆，而是拼你自己，拼一个健康的身体，一个开心的余生，做为一个男人，最好的状态就是眼里写满了故事，脸上却不见任何风霜，每天打理自己，少动没用的心，多挣万能的金，不羡慕谁，也不嘲笑谁，更不依赖谁，悄悄的去努力，悄悄的爱自己，把委屈吞下，把格局撑大，照顾好生养自己的人，养育好自己生的人，至于其他人管不了的也不再劳心费力的去操心了，更不会去执着于改变别人，认知不在一个高度上没必要互相征服，成年人的世界只筛选不教育，只选择不改变。,2024-10-06 16:13:39,河南,8
李玲情感语录,那种万箭穿心的痛，会让你陷入两头难，特别是有孩子的离婚，不管谁对谁对，都永远亏欠孩子，没能给孩子一个完整的家庭，让他成为单亲家庭的一员，也输了孩子这一生，孩子应该有无忧无虑的童年，却要为父母的过错买单，那种对孩子的亏欠，那种取舍两难的痛苦，让你这辈子都不想走上结婚这条路，这种痛，只有经历过的人才知道。,2024-08-29 17:31:18,湖北,8
漳州天力家具,[比心][比心][比心]少动没用的心 多挣万能的金,2024-08-28 10:44:35,福建,8
宋明军轻创业导师,就是无论你的婚姻幸与不幸，枕边人忠与不忠，身为男人，你都明白一件事儿，婚姻不是你人生的全部，下半生拼的也不是你的老婆，而是拼你自己，拼一个健康的身体，一个开心的余生。作为一个男人，最好的状态就是眼里写满了故事，脸上却不见任何风霜。每天打理好自己，少动没用的心，多挣万能的金，不羡慕谁，也不嘲笑谁，更不依赖谁。悄悄的去努力，悄悄的爱自己，把委屈吞下，把格局吞大，照顾好生养自己的人，养育好自己生的人，至于其他人管不了的，也不再劳心费力的去操心了。更不会去执着于改变别人，认知不在一个高度上，没必要互相征服，成年人的世界，只筛选不教育，只选择不改变，你赞同吗？,2024-10-03 14:26:02,广东,7
郑州市上街区发线造型—大冰,离婚2年了所以现在想开了带好孩子过完余生,2024-09-04 22:51:27,河南,7
童@话,快四十岁了才开始懂，青春已不在,2024-09-17 22:14:17,广东,6
🥀⃟封心᭄锁爱ꦻꦿ,心累，重感情，心太软，想开了，夜夜崩溃的就不是自己了，一边内耗，一边自愈，一会想开了，一会又纠结了，想发个朋友圈诉苦，好像不太合适。想找个人倾诉一下压抑的心情，可是翻遍了所有社交才发现没有一个人可以去诉说。于是我又像往常一样，咽下所有的情绪，默默打开抖音，在别人的故事里对号入座，在陌生的评论区来倾诉内心的苦[比心],2024-09-09 15:54:37,浙江,6
@牛牛,少动没用的心，多挣万能的金！爱与不爱，早已不在,2024-09-03 08:06:27,江苏,6
&释心❤️,说的极为可笑 一个男人自己一事无成 坑了枕边人和自己的孩子 他还挺委屈,2024-08-31 21:21:21,辽宁,6
博学文才,少动没用的心，多挣万能的金，不羡慕谁，也不嘲笑谁，更不依赖谁，把委屈吞下，把格局撑大！,2024-08-31 10:30:05,河南,6
桃夭＊,男人如此，女人也一样。好好活着，尽力避免内耗，尽力打理好人世间的每一天,2024-08-29 12:36:59,广东,6
用户6260049981147,文案不错，但是做到的人又有多少人？,2024-08-29 02:18:36,福建,6
拨浪鼓货郎担,看你是什么人，随心而活最重要，在乎自己就爱自己，在乎婚姻，就爱家庭，在乎孩子就爱孩子，每个人的内心都出了答案，不必听别人怎么说，没有标准答案,2024-08-28 21:38:33,浙江,6
爱茉莉 Amos  好项目找稻谷！,那不是一个男人最好的状态，应该是，婚姻，朋友，亲人，全部背叛你一遍之后，对一切都看淡的时候,2024-09-02 21:40:53,北京,5
萧哥,好好挣钱吧，把自己照顾好，男同胞们加油[灵机一动],2024-08-31 12:53:59,湖北,5
美食,又是心灵毒汤[灵机一动],2024-08-31 07:54:09,广东,5
电信车王选手队长,结婚一年，明天920，就是纪念日，分居半年以上。遇到一个骗婚的女人！这个视频很有意义。努力攒钱，为自己的六位数存款奋斗，不多，100000元人民币起步不难吧。,2024-08-29 21:43:06,江苏,5
缘分天空SQ,反之，女人也一样！,2024-08-29 20:11:27,江苏,5
我是法师刘海柱,是的，所以我现在头顶青青草原[绿帽子]，心中也毫无波澜[不失礼貌的微笑],2024-08-29 16:03:38,陕西,5
电线杆上的麻雀,33已经经历了，[捂脸]自己反而活的更潇洒了。有车有房有存款。自由万岁,2024-08-29 08:01:16,山东,5
浅唱,无法宣泄的痛苦才是真正的痛苦，无力改变的人生才是破碎的人生,2024-08-29 01:19:55,山东,5
博雅✺,问一句作者，如果这种男人不在乎你，你愿意嫁这样的男人吗？,2024-08-28 00:13:20,陕西,5
恒星81,我也快走出来了！,2024-08-27 23:13:34,四川,5
l亮子l,没金什么都是白谈,2024-09-28 16:40:31,浙江,4
时间暗格,我为了一个女人要死要活，女人就是我的全部,2024-09-16 10:14:50,江苏,4
北京阿芬整体软装汉服体验馆,人最大的难关，就是离婚，那种万箭穿心的痛，会让你陷入两头难，特别是有孩子的离婚，不管谁对谁对，都永远亏欠孩子，没能给孩子一个完整的家庭，让他成为单亲家庭的一员，也输了孩子这一生，孩子应该有无忧无虑的童年，却要为父母的过错买单，那种对孩子的亏欠，那种取舍两难的痛苦，让你这辈子都不想走上结婚这条路，这种痛，只有经历过的人才知道。,2024-09-11 10:46:56,北京,4
